# This file is derived from: https://green.adam.ne.jp/roomazi/namae.html

# family names
あい,Ai
いない,Inai
いないし,Inaisi
いなお,Inao
いなおか,Inaoka
いながき,Inagaki
いなかわ,Inakawa
いながわ,Inagawa
いなき,Inaki
いなぎ,Inagi
いなぐま,Inaguma
いなけ,Inake
いなげ,Inage
いなざわ,Inazawa
いなせ,Inase
いなた,Inata
いなだ,Inada
いなたに,Inatani
いなつ,Inatu
いなつき,Inatuki
いなづみ,Inazumi
いなとみ,Inatomi
いなどみ,Inadomi
いなどめ,Inadome
いななが,Inanaga
いなの,Inano
いなのべ,Inanobe
いなは,Inaha
いなば,Inaba
いなはら,Inahara
いなふく,Inahuku
いなべ,Inabe
いなます,Inamasu
いなみ,Inami
いなみね,Inamine
いなむら,Inamura
いなも,Inamo
いなもと,Inamoto
いなもり,Inamori
いなやま,Inayama
いなよし,Inayosi
いなり,Inari
いぬい,Inui
いぬかい,Inukai
いぬがい,Inugai
いぬつか,Inutuka
いぬづか,Inuzuka
いぬぶし,Inubusi
いぬまる,Inumaru
いぬやま,Inuyama
いねい,Inei
いねだ,Ineda
いねなが,Inenaga
いの,Ino
いのい,Inoi
いのう,Inô
いのうえ,Inoue
いのうち,Inouti
いのお,Inoo
いのおか,Inooka
いのかい,Inokai
いのがい,Inogai
いのかり,Inokari
いのくち,Inokuti
いのぐち,Inoguti
いのくま,Inokuma
いのこ,Inoko
いのした,Inosita
いのせ,Inose
いのだ,Inoda
いのつめ,Inotume
いのはな,Inohana
いのはら,Inohara
いのまた,Inomata
いのもと,Inomoto
いは,Iha
いば,Iba
いはし,Ihasi
いばた,Ibata
いばやし,Ibayasi
いはら,Ihara
いばら,Ibara
いばらき,Ibaraki
いばらぎ,Ibaragi
いぶか,Ibuka
いぶき,Ibuki
いふく,Ihuku
いふじ,Ihuzi
いぶすき,Ibusuki
いべ,Ibe
いほり,Ihori
いま,Ima
いまい,Imai
いまいずみ,Imaizumi
いまえ,Imae
いまえだ,Imaeda
いまお,Imao
いまおか,Imaoka
いまかわ,Imakawa
いまがわ,Imagawa
いまき,Imaki
いまぎ,Imagi
いまきた,Imakita
いまさか,Imasaka
いまさき,Imasaki
いまさと,Imasato
いまざと,Imazato
いまざわ,Imazawa
いまじゅく,Imazyuku
いまじょう,Imazyô
いましろ,Imasiro
いませ,Imase
いませき,Imaseki
いまぜき,Imazeki
いまた,Imata
いまだ,Imada
いまたに,Imatani
いまち,Imati
いまつ,Imatu
いまづ,Imazu
いまで,Imade
いまとみ,Imatomi
いまなか,Imanaka
いまなが,Imanaga
いまなり,Imanari
いまにし,Imanisi
いまの,Imano
いまはし,Imahasi
いまはた,Imahata
いまばやし,Imabayasi
いまふく,Imahuku
いまべっぷ,Imabeppu
いまほり,Imahori
いまみち,Imamiti
いまみや,Imamiya
いまむら,Imamura
いまもと,Imamoto
いまやま,Imayama
いまよし,Imayosi
いみ,Imi
いむた,Imuta
いむら,Imura
いもと,Imoto
いやなぎ,Iyanagi
いやま,Iyama
いよた,Iyota
いよだ,Iyoda
いらは,Iraha
いらはら,Irahara
いりえ,Irie
いりがまち,Irigamati
いりかわ,Irikawa
いりぐち,Iriguti
いりくら,Irikura
いりさ,Irisa
いりさわ,Irisawa
いりざわ,Irizawa
いりた,Irita
いりたに,Iritani
いりの,Irino
いりふね,Irihune
いりべ,Iribe
いりや,Iriya
いりやま,Iriyama
いりょう,Iryô
いれい,Irei
いろかわ,Irokawa
いわ,Iwa
いわあさ,Iwaasa
いわい,Iwai
いわいずみ,Iwaizumi
いわいで,Iwaide
いわうえ,Iwaue
いわうち,Iwauti
いわお,Iwao
いわおか,Iwaoka
いわがき,Iwagaki
いわかみ,Iwakami
いわがみ,Iwagami
いわがや,Iwagaya
いわかわ,Iwakawa
いわがわ,Iwagawa
いわき,Iwaki
いわぎ,Iwagi
いわきり,Iwakiri
いわぎり,Iwagiri
いわぐち,Iwaguti
いわくら,Iwakura
いわぐろ,Iwaguro
いわこし,Iwakosi
いわさ,Iwasa
いわさか,Iwasaka
いわさき,Iwasaki
いわざき,Iwazaki
いわさわ,Iwasawa
いわざわ,Iwazawa
いわしげ,Iwasige
いわした,Iwasita
いわしま,Iwasima
いわしろ,Iwasiro
いわせ,Iwase
いわぞの,Iwazono
いわた,Iwata
いわだ,Iwada
いわたて,Iwatate
いわだて,Iwadate
いわたに,Iwatani
いわだれ,Iwadare
いわつ,Iwatu
いわつか,Iwatuka
いわつき,Iwatuki
いわつぼ,Iwatubo
いわで,Iwade
いわと,Iwato
いわどう,Iwadô
いわなか,Iwanaka
いわなが,Iwanaga
いわなみ,Iwanami
いわなり,Iwanari
いわね,Iwane
いわの,Iwano
いわはし,Iwahasi
いわばし,Iwabasi
いわはら,Iwahara
いわふじ,Iwahuzi
いわふち,Iwahuti
いわぶち,Iwabuti
いわふね,Iwahune
いわべ,Iwabe
いわほり,Iwahori
いわま,Iwama
いわまつ,Iwamatu
いわまる,Iwamaru
いわみ,Iwami
いわみつ,Iwamitu
いわむら,Iwamura
いわむろ,Iwamuro
いわもと,Iwamoto
いわもり,Iwamori
いわや,Iwaya
いわやなぎ,Iwayanagi
いわやま,Iwayama
いわわき,Iwawaki
いん,In
いんでん,Inden
いんとう,Intô
いんどう,Indô
いんなみ,Innami
いんべ,Inbe
うい,Ui
うえ,Ue
うええだ,Ueeda
うえお,Ueo
うえおか,Ueoka
うえがき,Uegaki
うえかわ,Uekawa
うえき,Ueki
うえくさ,Uekusa
うえぐち,Ueguti
うえくぼ,Uekubo
うえごう,Uegô
うえさか,Uesaka
うえさき,Uesaki
うえさと,Uesato
うえざと,Uezato
うえさわ,Uesawa
うえじ,Uezi
うえしま,Uesima
うえじま,Uezima
うえじょう,Uezyô
うえず,Uezu
うえすぎ,Uesugi
うえその,Uesono
うえぞの,Uezono
うえた,Ueta
うえだ,Ueda
うえたけ,Uetake
うえたに,Uetani
うえち,Ueti
うえつか,Uetuka
うえつき,Uetuki
うえつじ,Uetuzi
うえで,Uede
うえなか,Uenaka
うえにし,Uenisi
うえの,Ueno
うえのその,Uenosono
うえのやま,Uenoyama
うえば,Ueba
うえはた,Uehata
うえばやし,Uebayasi
うえはら,Uehara
